,taxon_oid,file_name,file_id_list
5,3300021125,Table_8_-_3300021125.taxonomic_composition.txt,59d572b77ded5e58f983cbdd
26,3300021126,Table_8_-_3300021126.taxonomic_composition.txt,59d573687ded5e58f983cbf0
9,3300021128,Table_8_-_3300021128.taxonomic_composition.txt,59d576d97ded5e58f983cc2d
26,3300021130,Table_8_-_3300021130.taxonomic_composition.txt,59d579d07ded5e58f983cc57
11,3300021132,Table_8_-_3300021132.taxonomic_composition.txt,59d57dee7ded5e58f983cc9b
19,3300021134,Table_8_-_3300021134.taxonomic_composition.txt,59d582227ded5e58f983ccb7
39,3300021135,Table_8_-_3300021135.taxonomic_composition.txt,59d593447ded5e58f983cd98
14,3300021136,Table_8_-_3300021136.taxonomic_composition.txt,59d597657ded5e58f983cdb3
41,3300021137,Table_8_-_3300021137.taxonomic_composition.txt,59d59b2e7ded5e58f983cdd8
62,3300021140,Table_8_-_3300021140.taxonomic_composition.txt,59d5a6287ded5e58f983ce28
28,3300021141,Table_8_-_3300021141.taxonomic_composition.txt,59d5abc17ded5e58f983ce42
28,3300021162,Table_8_-_3300021162.taxonomic_composition.txt,59e55c9e7ded5e372ecbe7b3
4,3300021163,Table_8_-_3300021163.taxonomic_composition.txt,59e55ca97ded5e372ecbe7c6
26,3300021168,Table_8_-_3300021168.taxonomic_composition.txt,59e597b57ded5e372ecbe968
32,3300021170,Table_8_-_3300021170.taxonomic_composition.txt,59e5aa9d7ded5e372ecbea07
29,3300021171,Table_8_-_3300021171.taxonomic_composition.txt,59e5aeff7ded5e372ecbea2e
30,3300021178,Table_8_-_3300021178.taxonomic_composition.txt,59e6c1417ded5e372ecc0a12
40,3300021180,Table_8_-_3300021180.taxonomic_composition.txt,59e70b2e7ded5e372ecc2d5b
39,3300021181,Table_8_-_3300021181.taxonomic_composition.txt,59e753297ded5e372ecc37cc
13,3300021185,Table_8_-_3300021185.taxonomic_composition.txt,59e9b7ea7ded5e372ecc8d77
63,3300021306,Table_8_-_3300021306.taxonomic_composition.txt,59faff2e7ded5e41c30627de
44,3300021310,Table_8_-_3300021310.taxonomic_composition.txt,59fb03b97ded5e41c3062803
23,3300021318,Table_8_-_3300021318.taxonomic_composition.txt,59fb13987ded5e41c30628d3
11,3300021319,Table_8_-_3300021319.taxonomic_composition.txt,59fb138d7ded5e41c30628c0
10,3300021326,Table_8_-_3300021326.taxonomic_composition.txt,59fb1fe47ded5e41c3062930
18,3300021335,Table_8_-_3300021335.taxonomic_composition.txt,59fb35677ded5e41c3062a1d
29,3300021338,Table_8_-_3300021338.taxonomic_composition.txt,59fb387e7ded5e41c3062a30
19,3300021339,Table_8_-_3300021339.taxonomic_composition.txt,59fb39fc7ded5e41c3062a43
9,3300021340,Table_8_-_3300021340.taxonomic_composition.txt,59fb3d687ded5e41c3062a6a
55,3300021341,Table_8_-_3300021341.taxonomic_composition.txt,59fb3d3d7ded5e41c3062a57
20,3300021343,Table_8_-_3300021343.taxonomic_composition.txt,59fb41c17ded5e41c3062a8f
22,3300021344,Table_8_-_3300021344.taxonomic_composition.txt,59fb45a27ded5e41c3062aa4
7,3300021347,Table_8_-_3300021347.taxonomic_composition.txt,59fb51e17ded5e41c3062b06
49,3300021349,Table_8_-_3300021349.taxonomic_composition.txt,59fb4fd87ded5e41c3062aed
42,3300021352,Table_8_-_3300021352.taxonomic_composition.txt,59fb5d867ded5e41c3062b55
52,3300021354,Table_8_-_3300021354.taxonomic_composition.txt,59fb62af7ded5e41c3062b82
20,3300021356,Table_8_-_3300021356.taxonomic_composition.txt,59fb69157ded5e41c3062bac
13,3300021357,Table_8_-_3300021357.taxonomic_composition.txt,59fb68007ded5e41c3062b99
2,3300021358,Table_8_-_3300021358.taxonomic_composition.txt,59fb6c307ded5e41c3062bc3
18,3300021358,Table_8_-_3300039453.taxonomic_composition.txt,5ef39fe21145189bcc461156
86,3300021358,Table_8_-_3300039452.taxonomic_composition.txt,5ef2ee261145189bcc460fdc
2,3300021361,Table_8_-_3300021361.taxonomic_composition.txt,59fb76b07ded5e41c3062cbe
70,3300021361,Table_8_-_3300039447.taxonomic_composition.txt,5ef05cb444166b23de9bf6a4
24,3300021362,Table_8_-_3300039442.taxonomic_composition.txt,5ef25abf1145189bcc460ebc
